epoch,acc,loss,val_acc,val_loss
0,0.395868052006,2.28836703753,0.143155670166,0.932929237684
1,0.186199724674,1.62219731188,0.143488756816,0.746964565913
2,0.373702419758,1.22251515222,0.150531800588,0.75201082627
3,0.421690270901,1.15322589779,0.12943353653,0.731641272704
4,0.186002628803,1.36926833463,0.15098101298,0.711044581731
5,0.374270174503,1.07407412922,0.148783715566,0.738899481297
6,0.421836582184,1.06651831734,0.138295968374,0.698288325469
7,0.186227777481,1.28361272311,0.147424856822,0.675200891495
8,0.374322776794,0.995915758252,0.119386863708,0.694610408942
9,0.421835062504,1.01935471022,0.141956361135,0.6863367637
10,0.185853704929,1.21704396653,0.13792775472,0.663407206535
11,0.374644432068,0.934275620818,0.136971728007,0.697149844964
12,0.421968114376,0.970127938867,0.136994584401,0.689649446805
13,0.18613817358,1.16274557626,0.138145796458,0.657715519269
14,0.374228059769,0.897504423618,0.137837314606,0.683900630474
15,0.421577293873,0.928967341304,0.12509915034,0.692841132482
16,0.186474593163,1.11564017725,0.134499295553,0.649839234352
17,0.374296480656,0.86465815866,0.131502246857,0.672859573364
18,0.422761968613,0.880756667614,0.109510580699,0.65915809075
19,0.185429037571,1.08543459249,0.143065547943,0.662242758274
20,0.374175587177,0.833704181075,0.136959012349,0.682055815061
21,0.422391989231,0.842694824219,0.131944592794,0.642645275593
22,0.18554507637,1.05629970968,0.142773691813,0.665943217278
23,0.374445672512,0.806551069975,0.128594621023,0.645754754543
24,0.421618751049,0.811729614496,0.13373298645,0.658307468891
25,0.186455315113,1.02783948386,0.143534564972,0.635988720258
26,0.374321514606,0.791679581285,0.148033237457,0.656851947308
27,0.421947665215,0.783849047422,0.132648404439,0.621024783452
28,0.186066223621,1.0055747807,0.142685413361,0.648161884149
29,0.374393387318,0.771534050584,0.13490524292,0.653740684191
30,0.422097824097,0.764004032612,0.128571001689,0.639294393857
31,0.186216261387,0.991178839564,0.143781693776,0.614789414406
32,0.374103477478,0.752397845387,0.127884260813,0.66627505223
33,0.421351624966,0.74645194006,0.125772380829,0.631275510788
34,0.186463088512,0.972611973882,0.128697522481,0.63785533905
35,0.37460418272,0.742447901726,0.123296864827,0.680317556858
36,0.421284284115,0.736591547132,0.139585781097,0.624240144094
37,0.186924687386,0.956386404872,0.137299633026,0.613402541478
38,0.374213130951,0.731309775114,0.145602893829,0.63666768074
39,0.421491399765,0.72115629375,0.132426961263,0.639342069626
40,0.186245094299,0.944533407569,0.115556081136,0.629871237278
41,0.374689407349,0.720581501544,0.136001586914,0.649741701285
42,0.422194039822,0.709745148361,0.128776200612,0.608927551905
43,0.186154550552,0.935672110319,0.135512828827,0.629463028908
44,0.374077292919,0.709562017262,0.126102352142,0.633146095276
